,Tweets,Subjectivity,Polarity,country,region
32," 97% of Nigerian masses are poor,Nigerian government refuses to disburse the grants united nation gave the masses,cos federal government cabals wanted to hijacked the funds meant for the poor Nigerian masses to their private accounts as CBN governor did,Come for our rescue!!!",0.4875,-0.2,Nigeria,ex-British Colony
33," United nations gave Nigerian masses grant to alleviate poverty from our various homes,today 2nd February the Nigerian government has not disburse the funds,Nigerian government refuses to show united nation the right person signatory to the documents for disbursements!!!",0.3452380952380952,0.18601190476190474,Nigeria,ex-British Colony
34,"Women 97% of Nigerian are poor,UN gave the masses grant to alleviate poverty in our families, today 2nd January 2023,Nigerian government refuses to disburse the grant to our NGO's,Federal Government Cabals wanted to hijacked the funds meant for the poor masses to their Various accounts",0.3666666666666667,-0.13333333333333333,Nigeria,ex-British Colony
35," Please come for our rescue,97% of Nigerian masses are poor,hunger is killing some families,UN came for rescue,today 2nd December 2023 No disbursement, The federal government cabals wanted to hijack the funds for the poor masses to the private accounts As Godwin Emefiele Did..",0.325,-0.13333333333333333,Nigeria,ex-British Colony
36, Personally I don't think presidential system of government is the best for Nigeria given our diversity and our resources...why most we have bicameral legislation??,0.3666666666666667,0.5,Nigeria,ex-British Colony
37,"law But how many of our fellow citizens understand this ( Or they pretend not to). Once they hear removal of subsidy, the opposition party use that as the perfect opportunity to drag the government.",0.5236111111111111,0.4666666666666666,Nigeria,ex-British Colony
38," And our dear Lagos politicians built light rail for almost 60 billion dollars.... 

See why we need to vote Dem out next month...

Those thieves in Nigeria government will not see peace",0.35,0.2,Nigeria,ex-British Colony
39," Be honest with our efforts. Don't shortchange anyone, individuals, corporate or government. And most importantly, set up genuine businesses. A lot of our businesses go under before 5 years, not because of harsh business environment but sharp practices and fraud. It needs to stop",0.6214285714285713,0.225,Nigeria,ex-British Colony
40," Operation Feed the Nation metaphorcised into Obasanjo Farms Nigeria Limited. All these indomie generations are not likely to know this. Reason his government also removed history from our curriculum. God spares his life,he will witnessed the inauguration of BAT in May, Godwilling",0.5714285714285714,-0.03571428571428571,Nigeria,ex-British Colony
41,22betscam these guys refuse to release our money we're urging the nigeria government to ban them from our country,0.0,0.0,Nigeria,ex-British Colony
42,    Please pay us our money. This APC government is the most corrupt government in the world. U. N. Please persuade Nigeria government to pay us our money. Thanks,0.5666666666666667,0.06666666666666667,Nigeria,ex-British Colony
43," gawat           Tosyn Own airports and seaports to the international standard. Those things are in the exclusive list, which only the federal government can approve.
Nothing else is in Lagos.
Don’t worry, when  enter and all the oil companies start relocating their headquarters, when all our",0.5,0.15,Nigeria,ex-British Colony
44," gawat           Tosyn Ization, is because the federal government concentrated seaports and airports in the north and south west, thereby making it cumbersome for our people to import without coming to Lagos or Abuja, surely  will change that.
Before you remind me that we should build our",0.8888888888888888,0.5,Nigeria,ex-British Colony
45," God Abeg ooo,
Part of the consequences of the APC government and brain drain of the very best of our Doctors.",0.39,1.0,Nigeria,ex-British Colony
46,"Obi is the only hope of every common Nigerians. If we allow these thieves who have hijacked our government for many years to snatch this opportunity from us this time that we are so close on giving them mass burial throw vote for Peter Obi, we will be doomed for long time. https//t.co/LRqhvGaezQ",0.6,0.037500000000000006,Nigeria,ex-British Colony
47,"2/b Please fill the incident form on our website 
https//t.co/oRTJ7bAIRR
state the local government and the name of the inec staff attending to you. 
You can also call 0700GRVLAGOS from tomorrow to log your complaints. obidients",0.0,0.0,Nigeria,ex-British Colony
48,obj This man is one of our sour ces of poverty in Nigeria. His Government nationalised all schools in the 70's without enough resources to back up demands. He spent 8-years as civilian President with powers to repairs Nigeria's deteriorated structure.. What's he saying?????,0.175,-0.0625,Nigeria,ex-British Colony
49," Nah so our government be too

Then when you tell a kid to stop doing something you’d punish kill the young lad?",0.4,0.1,Nigeria,ex-British Colony
50, Our government that is our right to ger good governance from no send us make e be artistes. No worry urself danny. It will be fine,0.5452380952380952,0.4674603174603174,Nigeria,ex-British Colony
51," Learn new productive skills in 2023 and help eradicate hunger from our continent. The government has tried its best, the citizens should do their's to provide more food, learn how to produce fertilizer, fish and chicken feed etc
Get AGRIPRENEUR HUSTLERS @ https//t.co/P34fK60OsJ https//t.co/9qGxYXExBO",0.5511363636363635,0.25909090909090904,Nigeria,ex-British Colony
52,"Nigerians too dey collect abeg! Collect wotowoto from government, collect from employers, collect from artistes.
😭Normal, all of us suppose go heaven cos our eyes too see for this country.",0.0,0.0,Nigeria,ex-British Colony
53," Na poverty make una dey whine us Nigerians like this oo.. but e no matter,na our government make una see us finish…APC nice one! 👍",1.0,0.75,Nigeria,ex-British Colony
54," Yusuf So you know that a Nigerian living in diaspora coming back to serve under his government is a curse? You people know your principal is evil but support him for selfish gains. He will never be our President because it's not God's doing.

Keep crying!!!",0.65,-0.47265625,Nigeria,ex-British Colony
55," As long as there is a higher percentage of Nigerians who practice self-hate, this kind of practice would continue. Our Government fucks us and people still cheer them, Rich people do despicable acts and they're idolised. Na the self hate de give dem liver las las.",0.69,0.075,Nigeria,ex-British Colony
56," We need to understand that self or individual change for the better matters most in Nigeria. Aside from government even the workers and management for fueling stations corrupt.

Let's get our change positive",0.5890909090909091,0.14545454545454545,Nigeria,ex-British Colony
57,"Dear Nigerians! Go collect your PVCs from INEC Office.
With our votes we can eject bad leaders out of the government by using our PVC wisely to vote for H.E.  and Dr. through the National party 'PDP'  

As one we can get it done.
WeWantPDPBack https//t.co/tYHmc2g9ci",0.7833333333333333,5.551115123125783e-17,Nigeria,ex-British Colony
58,obj Wise words. Vote in competent and conscientious persons into government. Only individuals who can listen and take advice need our votes. Don't anyone that think themselves as god. It's a recipe for disaster,0.8555555555555555,0.39999999999999997,Nigeria,ex-British Colony
59," Respectfully, you're loosing ur senses

If our government and politicians were serving their rightful purpose you wouldn't be holding a celebrity for this account

You sef hustle and make millions, let's how you'll start to distribute and donating your money, Mr. Adviser",0.7,0.5,Nigeria,ex-British Colony
60, Needful? You know our government Naa...we won't do anything until 911.,0.0,0.0,Nigeria,ex-British Colony
61,"Traffic Small time you go see the werey go abuse government say them fail, for him department now shey him no faill, we need to our attitude as a Nigerian to make this country great again",0.48333333333333334,0.01666666666666668,Nigeria,ex-British Colony
62,"Poverty is what most people refer to as witches, solve the problem of poverty and you will see no witches again, The only witch in our lives is the Nigerian government.😆 

Sowore  On “Village people”",0.75,0.25,Nigeria,ex-British Colony
63,  Obj's government is the best in our recent history so it doesn't require argument if you're objective.,0.21666666666666667,0.3333333333333333,Nigeria,ex-British Colony
64,Why will there be an IDP camp in the capital of NIGERIA….it’s shows the level of INSECURITY in our country… has really played a nonchalant role in treating security problems which is the main priority of any government so if  can it’s better we just win!!,0.3583333333333333,0.4666666666666667,Nigeria,ex-British Colony
65,"You guys should leave Burna Boy alone and face your government that  has caused pro max damage to our economy and society. If the head is good the rest of the body will be okay. 

Burna no be your problem. Na your government.",0.55,0.6,Nigeria,ex-British Colony
66, Back This video makes believe we deserve our government,0.0,0.0,Nigeria,ex-British Colony
67,"The people of Akpa Edem, Ozzi Edem and Okutu communities in Nsukka Local Government Area of Enugu State have told Governor Ifeanyi Ugwuanyi who is the candidate of the Peoples Democratic Party (PDP) for Enugu North Senatorial District in the 2023

https//t.co/wDF7QvmIro https//t.co/BPpTzY5FFJ",0.0,0.0,Nigeria,ex-British Colony
68, If our government were to legalize gun we are  all gun,0.0,0.0,Nigeria,ex-British Colony
69,"Obasanjo led a government that wasted over $16b meant for electricity generation with no positive result.His government wasted our resources as a nation. He is not relevant even in the southwest.Yet,you are happy he endorsed Peter Obi. Loool, you are but gullible. Obi won't win",0.4742424242424242,0.14772727272727273,Nigeria,ex-British Colony
70,"bosslady E shock you!!!? 😲 we need to celebrate garri o.., wen our government changed the colour of our currency,  i didn’t react... because they haven't attempt to change the colour of our garri... na there una go se werey 😆 🤣 😂",0.0,0.0,Nigeria,ex-British Colony
71," Eti-Osa local government secretariat is withholding our PVCi went twice from 8am till der close,der refuse to attend to us",0.0,0.0,Nigeria,ex-British Colony
72,"  please I live at ajegunle, in Lagos Nigeria ajeromi ifelodun local government. We have not seen our PVC till this moment. Every time I go there they will tell me it's not available. Please do kindly help us",0.45,0.1340909090909091,Nigeria,ex-British Colony
73,"  Compared to the this and past government we have had ever since he Left. His government remains the best in our life time. Joke on u if u are taking bad on Obasanjo while using phone to type.Without Obasanjo,by now,u would be probably by only hearing about phone witout owin one",0.44333333333333336,0.010000000000000031,Nigeria,ex-British Colony
74," Even if you perform worse than the  government, I'll support you and vote for you. We can't be doing the same thing since democracy and expect different result. Inec won't count Twitter polls, comments and likes. They'll count our votes so Nigerians pls lets turn up",0.44166666666666665,-0.13333333333333333,Nigeria,ex-British Colony
75,"   I really don't understand Nigerias obsession with federal government, when the real solution to our problems are in the states and local governments. One day we will all wake up",0.16666666666666666,0.13333333333333333,Nigeria,ex-British Colony
76,"obj 4
by inducing NA through boguos payments which makes our system of government most expensive in the world despite our low IGR.
BAT isn't a perfect candidate but best among the contestants. He has impacted lives and could be able to sustain Lagos when you withheld the allocation",0.5708333333333333,0.4166666666666667,Nigeria,ex-British Colony
77,"Our working governor   the   made life unbearable for motorists, they collaborate with   and TOUTS to illegally extort Lagosians , the state government needs to make a public address to condemn their activities.",0.2833333333333333,-0.25,Nigeria,ex-British Colony
78,"    Please released our money for God seck, the money is not for government, you people get money already pls fear God,     @weyimi        ",0.0,0.0,Nigeria,ex-British Colony
79,"  Metoo 
She’s a hate preacher…one day she’ll inspire a terror attack on white people.

Our government should have deported her with radical Islamists.
Her BLM hate is just as evil.",0.7,-0.65,Nigeria,ex-British Colony
80," If it agitators them dialogue.

if it terror go gun blazing, push them to standstill. It our territory, which kind Nigeria government we get naaaaa.

2023 February 25th God please we need Peter Obi and Datti Baba Ahamd.

Gen. Musa no do this kind thing after March 1min u are out",0.9,0.6,Nigeria,ex-British Colony
81," This our government nor get shame at all,money den nor dey give citizens, the one when oyinbo come still give us, make we take whole our body, this evil men still want collect the money,see bros the devil when God drive from heaven na then bi did niaja politician",0.7,-0.4,Nigeria,ex-British Colony
82,"It's because of this reason that we continue to emphasize on rewarding loyalty. We can't continue to waste our time on those that have no an iota respect for the polity, the government and the nation's authority. The disrespectfullness is out of this world! https//t.co/H77CYocZpe",0.5,0.125,Nigeria,ex-British Colony
83,  Our government happy new year 🎊,0.7272727272727273,0.4681818181818182,Nigeria,ex-British Colony
84,"Most of our mother’s, their only fear is, their kid getting caught by d government. They’ve been observant since our infant and they’ve accepted us that way. ❤️
Most of them aren’t financially buoyant to give us comfort away from these harassment and keep us safe.",0.5,0.3,Nigeria,ex-British Colony
85, That's why we need BAT to become the president.. we can't afford to have failures like Obi and Atiku as our next president... God will shame all of u standing against APC Government,0.0,0.0,Nigeria,ex-British Colony
86, All thanks to God Almighty for saving us (the survivors) from the hardship of your government   As far as am concerned things have never been this bad before in our dear nation Nigeria.,0.6222222222222222,-0.13333333333333328,Nigeria,ex-British Colony
87, blogging What are we going to do? Our government led us into this. You can't try this in Ghana. Even in most states in Nigeria. Some companies closes before 9pm. Calabar for instance.,0.5,0.5,Nigeria,ex-British Colony
88," freke “Araba tun ra mu, o tungba re re” meaning Ghana warns his pastors of giving prophecies and dey are a close neighbors so don’t be surprised if our government go after him if he says anything. So he’ll remain silent",0.5,0.05,Nigeria,ex-British Colony
89,"This government could achieve in his regime, then glory be to God because it’s our benefit, this is the first time I’ll see Nigeria government not taking action for their benefit but for the people,
       But so sad it’s we youth that are complaining-3",0.4777777777777778,-0.05000000000000001,Nigeria,ex-British Colony
90," Perhaps if most of our politicians can be like that, Nigeria will be better for it .rather they choose to be career politicians who depends on government for their daily leaving  it is good that he has a job of her own and not career politicians with no clue about wealth creation",0.52,0.45999999999999996,Nigeria,ex-British Colony
91," A clear and unambiguous admittance of the failure of APC government. 

I'm sure you didn't think through this tweet (can u even think sef?). 

So for 8yrs, ur party collapsed health, edu, infrastructure &amp; you still av the guts to ask for our votes? Have small shame now!",0.4930555555555556,-0.0072916666666666685,Nigeria,ex-British Colony
92, You can imagine our government needs to wake up,0.0,0.0,Nigeria,ex-British Colony
93,"With the way, Nigerians travel to London ehen London will soon be added as our 37 states of Nigeria. 

All thanks to President Buhari and the APC Government who made this possible. 🙏🏿",0.6,0.1,Nigeria,ex-British Colony
94, See! Abi we should add their government names to our congratulations?,0.0,0.0,Nigeria,ex-British Colony
95,This one is crying because of tax. Our noisy neighbors are too dumb to know that government runs on taxes. You want Nigeria to be like London but yet complain about taxes. https//t.co/SnGKj0RRES,0.55,-0.2875,Nigeria,ex-British Colony
96, ...and those CEOs that partake in sharing our $2Billion from Dasuki in the last regime should be bold to return it or surrender their outfits to the government. Some are writing from such outfits built with our common fund that was stolen.,0.43333333333333335,0.008333333333333331,Nigeria,ex-British Colony
97, May God be with you! May our Nation remain united! The least the government can do is take good care of your families. Even on an holiday you out your lives at risk to ensure we are safe! GodBlessNigeria GodBeWithOurTroops,0.5,0.3416666666666666,Nigeria,ex-British Colony
98,"   I av no problem whichever tribe rules Nigeria, my concern is for good people to be selected into government. Presidency is not our problem that’s the reason for Una go cry cos the outcome is obvious but we ignore the actual work we need to do and portray one person as our messiah",0.4000000000000001,0.2333333333333333,Nigeria,ex-British Colony
99,  there should be check on this people the exploitation are too much and the suffering to our people are becoming unbearable to get fuel at the government fixed prices in sagamu send ur official to check this people,0.4166666666666667,0.25,Nigeria,ex-British Colony
100, Hmmmmmm!!! Maybe our government want us to get to heaven before we start enjoying a simple but good and decent living...,0.555952380952381,0.3416666666666667,Nigeria,ex-British Colony
101," How does dat affect you or you government and y the calm down abi is anybody fighting,you are free to your opinion as I am free to my own.This is our choice so choose yours",0.6597222222222223,0.23611111111111113,Nigeria,ex-British Colony
102,The freedom we lost to this corrupt government if we don't get it back with our own strength then it's no use. I urge every one to vote wisely. I support the Obi datti movement.,0.725,0.19999999999999998,Nigeria,ex-British Colony
103," Just imagine what is going on in states and we are focusing our attention to the federal government. Imagine a small Osun State. Thank you 01 , keep unmasking them",0.4,-0.25,Nigeria,ex-British Colony
104, May he continue to enjoy good things abroad unlike what our successive government including atiku has caused us. May he blossom and achieve all his dreams unlike how Atiku and Tinubu have used bullion and privatization to mortgage people's destiny.,0.55,0.55,Nigeria,ex-British Colony
105, Lol.. I clearly understand your point sha. I dey fear knockout that I’ve never tried blowing any. But it’s the least of our problem sha.. Nigeria government is so irresponsible 🥲😜. Personally I don’t like it at all... 🤣,0.44583333333333336,0.15000000000000002,Nigeria,ex-British Colony
106,"I don't want to start the year with regrets so I won't splurge. But this decision leads to me to hope, deeply, that our economy will improve dramatically as we make some much needed good choices concerning our government this year.
And the next one. And all the years to come.",0.28,0.15999999999999998,Nigeria,ex-British Colony
107,  Unfortunately government will ensure that your skill will be useless. What is th quality of our education? If you are not connected can you get funds to start a business? Why are so called lazy Nigerians succeeding abroad but can’t succeed here?,0.7333333333333334,-0.4166666666666667,Nigeria,ex-British Colony
108,"2023 is an important year for our country to have smooth transition of government, to whoever the people have decided upon. This administration's landmark Amended Electoral Act will ensure that we have free and fair elections across the Nation.

~President Muhammadu Buhari",0.7999999999999999,0.47500000000000003,Nigeria,ex-British Colony
109, Federal government should not waste our resources conducting election.  They should just  give it to ,0.0,0.1,Nigeria,ex-British Colony
110,"   Had a very bad accident in Ifaki ekiti on 12th of March 2022, rushed the victim to FMC Ido ekiti, a team of 8 specialists attended to the patient immediately she was brought in. Our government hospitals are far better than private facilities.",0.5583333333333333,-0.07699999999999999,Nigeria,ex-British Colony
111,Happy New Year to those of you who celebrate it. I'm Yoruba and it's not my New Year. The Gregorian calendar don't mean much to me. China is having it's own New Year soon and with our 'government's borrowing from them we could be celebrating some weird New Year in Africa. Learn!,0.6339646464646465,0.15189393939393936,Nigeria,ex-British Colony
112," I sense fear,  is it because February 23 fast come.

If you want to know one of the major reason we are very very excited is that we are going to remove APC government Buhari and Tinubu.

And vote and install our president Peter Obi and Datti Baba Ahamd. For a new Nigeria",0.6323863636363637,0.2215909090909091,Nigeria,ex-British Colony
113,"While we pray tonight, don’t forget to pray for Nigeria and most importantly Peter Obi! 
Let’s pray against bad government and those who know they are not fit and still contesting.
May our prayers be answered! 🙏",0.6416666666666666,0.012500000000000039,Nigeria,ex-British Colony
114,"People are waking up to the realities of security in the community and are no more waiting for the government to come solve all their headache 
They're currently changing all the street light to solar  in my estate
Our own Trenches get level.",0.65,0.1875,Nigeria,ex-British Colony
115," But that's the real reason Muslims have so much children. Just to beat the christians population, we can have brain &amp; skills but if they have the majority of the population they'll always get majority shares. See our government system for example.",0.25,0.2,Nigeria,ex-British Colony
116,We want to waste our votes to protect our soldiers from fighting foolish wars with crude and obsolete military ware supplied by corrupt and insincere government. We want to waste our votes to stop burying innocent Nigerians. This is the time to waste our votes.,0.39999999999999997,-0.19999999999999998,Nigeria,ex-British Colony
117,"we will waste our votes to stop our children from japaing to foreign lands to do dirty, menial jobs to survive. We will waste our votes to build a government we can trust, we can question, we can remove without a shoot-at-sight order.",0.23125,-0.28125,Nigeria,ex-British Colony
118,"we're wasting our votes to stay alive, we're wasting our votes to get food to eat, we're wasting our votes to save our lives from sponsored killers and kidnappers that the government has refused to arrest and try. Oh,",0.2,0.025,Nigeria,ex-British Colony
119,  And please don't insult our intelligence regards EndSARS. The protests were peaceful until the government started bringing thugs at Alausa and soldiers at the Lekki toll gate. The burnt assets were done by thugs your tingod enabled.,0.5,0.25,Nigeria,ex-British Colony
120,"I really want Federal Government to invest in our craft. Nigerians are super CREATIVE 📌.

Look at what she made out of yarn 🧶🤗 https//t.co/alWm7NRunm",0.5166666666666667,0.2333333333333333,Nigeria,ex-British Colony
121,"Will age and sickness allow him oversee his government or will it be run by proxies just as it's being done in this current administration?
Nigerians cannot afford to have another absentee president at this crucial time when our very livelihoods depends on it,",0.5666666666666667,0.06666666666666667,Nigeria,ex-British Colony
122,"   Bro the problems are our government not yahoo boys, let the government give the people what they want and see how things will change",0.0,0.0,Nigeria,ex-British Colony
123,"Olanrewaju0            @AfricanUnion NIGERIANS ARE NOT SLAVES. NIGERIANS ARE DYING OF HUNGER AND POVERTY CREATED BY APC GOVERNMENT MISRULE. DONT USE OUR MONEY FOR CAMPAIGNS, RELEASE THE MASSES MONEY TO US. IT IS MEANT FOR THE HUNGRY POOR NIGERIANS.",0.6,-0.4,Nigeria,ex-British Colony
124,"When  becomes President, no government official will spend dollar. It's an offence and they will be jailed! Naira is our currency and we have to be proud of it! https//t.co/cfTKDGHeVx",1.0,1.0,Nigeria,ex-British Colony
125,"Nonetheless, our review reveals that Peter Obi's audacious plan on restoration of fiscal viability by discontinuing unaffordable subsidies which has left a black hole in the government's finances is difficult to evaluate without the required specifics.

Thread 3/4",0.4777777777777778,-0.2222222222222222,Nigeria,ex-British Colony
126," Please come for our rescue,UN gave Nigerian government grant to alleviate poverty,Nigerian government do not want to disburse this grant,federal government cabals want to hijack the grant meant for the poor Nigerian masses",0.6,-0.4,Nigeria,ex-British Colony
127," Its painful that congress still renaming our forces for Pulwama, did press release by Military is fake? why disrespect. The COVID situation was handled very efficiently by Modi government. Sanjay Nirupam should talk responsibly and respecting Nation.",0.57,-0.18,Nigeria,ex-British Colony
128," Why did he contest for president, with whose money? Where is the $50b he released to the government....
Why are the faces of Senate fighting him because of naira policy not published? Why our leaders wicked🤷",0.0,0.0,Nigeria,ex-British Colony
129,Exactly how our government are making this country https//t.co/UVVRhmuZ5u,0.25,0.25,Nigeria,ex-British Colony
130,"Our country will remain held back unless we all imbibe accountability.

Both the citizens and the government

Change begins with you and I!",0.0,0.0,Nigeria,ex-British Colony
131,"Most times, the government aren't the problems, we are our own problems. 
This is according to LGA. Such a disappointment esp for the newly registered PVC... https//t.co/eNVv3G3Ehy",0.5709090909090909,0.1272727272727273,Nigeria,ex-British Colony
132,    Some of our people are terribly bad. Must the government always run after contractors and those that get governments' contracts before they execute the projects which they got money for? Must we act as if we are still in the primitive age? Must EFCC run after everyone?,0.6666666666666666,-0.6999999999999998,Nigeria,ex-British Colony
133,"    Yes, Lagos stopped being a capital.and stopped getting attention from the FG. Virtually all roads had failed when he took over. It took the government 3 months to clear the state of refuse on our roads. If you were in Lagos, you will know one dump that disappeared during the BAT.",0.3416666666666667,-0.19999999999999998,Nigeria,ex-British Colony
134,You went through someone’s page and saw him aggressively bashing this evil government and your brain didn’t tell you that’s likely why he’s anonymous. May our paths not cross with vain clout animals,0.6666666666666666,-0.3333333333333333,Nigeria,ex-British Colony
135,"  My thought exactly, subsistence analysis and reasoning. The same man was part of the government that borrowed to consume and pay salaries. Buhari borrowed and developed our infrastructure.",0.225,0.11666666666666665,Nigeria,ex-British Colony
136,"2. We need Youth In Nigeria System to able to utilize the skills and able to perform in any field, he find his or her self in the government sector.... We Nigeria Youth can see the clear picture in the Government Sector. Let Make our country a home of peace.",0.5444444444444444,0.3666666666666667,Nigeria,ex-British Colony
137,  care How are we sure this government is not cooking any thing with our network service provider? MTN data service is not better keep apologising no improvement.,0.6944444444444444,0.125,Nigeria,ex-British Colony
138," Women We seek your intervention over grant issue in Nigeria... We need disbursement  Nigeria government is not helping... Masses are dying of poverty and alot depend  on this  grant to make some one or two moves for survival.  PLEASE COME TO OUR AID..🙏🙏🙏

",0.0,0.0,Nigeria,ex-British Colony
139," We seek your intervention over grant issue in Nigeria... We need disbursement  Nigeria government is not helping... Masses are dying of poverty and alot depend  on this  grant to make some one or two moves for survival.  PLEASE COME TO OUR AID..🙏🙏🙏
youth
BIDC",0.0,0.0,Nigeria,ex-British Colony
