Facility Name,Latitude,Longitude
Cupoe Health Post,-9.3055,14.9010
Dange-Ya-Menha Health Post,-9.5330,14.6670
Dr Agostinho Neto Provincial Hospital,-9.3017,14.9130
Dualumbi Health Post,-9.1137,15.2338
G-Alto Municipal Hospital,-9.1333,14.7667
Golome Health Post,-9.7303,14.5131
Gonguembo Municipal Hospital,-8.9833,14.9333
Hala Health Post,-9.2086,15.2411
Hanga Health Post,-8.4167,15.7167
Helegi Health Post,-9.2704,15.1507
Hombo Health Post,-9.6684,14.6306
Kafuma Health Post,-9.6776,14.4278
Kahima Health Post,-8.4680,15.6077
Kandange Health Post,-9.7426,14.4908
Kapata Health Post,-8.4389,15.3671
Kianvo Health Post,-8.5988,15.3538
Kiboto Health Post,-8.4610,15.2510
Kigia Health Post,-9.2705,15.2506
Kilemba Sector do Cuso Health Post,-8.9491,15.3301
Kilombo Kiaputo Health Post,-8.9088,14.7276
Kilometro 13 Health Post,-9.2555,15.0078
Kipata Health Post,-9.2912,14.9204
Kiquiemba Health Post,-8.3362,14.9120
Kixina Kiatuco Health Post,,
Longa Health Post,-8.2833,15.6333
Lucala Centro Sanaterio,-9.2652,15.2422
Lucala II Health Post,-9.2991,14.9302
Lucala Municipal Hospital,-9.2663,15.2407
Luinga Health Post,-8.4670,15.6000
Maculumbi Health Post,,
Malesso Health Post,-9.1373,14.8436
Manguengue Health Post,-8.3395,15.2184
Massangano Health Post,-9.6167,14.2667
Maua Health Post,-8.2801,15.3156
Mucoso Health Centre,-9.5379,14.6608
Mululo Health Post,-9.0889,14.8321
Mussusso Health Post,-8.8675,15.1040
Pedro Quilemba Health Post,-9.6830,14.8000
Pimbi Health Post,-8.4170,15.1825
Posto de Saúde da Kalemba,,
Povo Longe Health Post,-7.9941,15.3985
Quibanda Health Post,-8.5561,15.3365
Quiculungo Municipal Hospital,-8.5167,15.3167
Quirima Health Post,-9.2773,15.0321
Quiringo Health Post,-9.5833,14.5833
Quissecula Health Post,-9.4586,15.1766
Samba-Caju Municipal Health Centre,-8.7670,15.4170
Samba-Lucala Health Post,-8.9830,15.5830
Sassa Health Centre,-9.3065,14.8993
Saúde Cazengo Municipal Health Centre,-9.3333,14.7667
Sector de Caculo-Cabata Health Post,-8.7456,15.2654
Sector do Mussabo Health Post,-8.6631,15.5575
Sector do Pambos de Sonhe Health Post,-8.5333,15.4167
Sector do Quidiulo Health Post,-8.6167,15.3667
Tango Health Post,-8.1000,15.6333
Terreiro Health Post,-8.4333,15.1000
Tita Health Post,-8.5333,15.2667
Tombe Tombe Health Post,-9.3046,14.9154
Velho Iango Health Post,-8.9765,14.7123
Zanga Health Post,-9.2039,14.9920
Zavula Health Post,-9.3167,14.7667
Zenza Itombe Health Post,-9.2818,14.2201
Aldeamento No. Health Post,-11.3646,15.1685
Aldeamento No. Health Post,-11.3520,15.1510
Aldeamento No. Health Post,-11.3043,15.1684
Aldeamento No. Health Post,-11.2719,15.0759
Aldeamento No. Health Post,-11.2467,15.1388
Aldeamento No.11 Health Post,-11.4287,15.0746
Aldeamento No.7 Health Post,-11.3966,15.0893
Alegria Centro Materno Infantil,,
Aliwaio do Galo Health Post,-11.3717,14.3322
Ambande Health Post,-11.7390,14.2240
Amboim Municipal Hospital,-10.7273,13.7561
Amboim Policlfnico Health Centre,-10.7306,13.7581
Amboiva Health Post,-11.5267,14.7374
Andulo Ambile Health Post,-10.7509,14.5553
Aricango Health Post,-10.8580,14.3883
Assaca Health Centre,,
Assango 10 Health Centre,-10.9808,14.4155
Assango 2 Health Post,-11.1448,14.5242
Atome Health Post,-11.8840,14.5681
Ave Moma Health Post,-11.4201,14.4196
Bairro Kifuangondo,-10.7374,14.9910
Balaie Health Post,,
Bandua Health Post,-11.8500,14.9333
Bango Health Post,-11.3513,14.2255
Bango Health Post,-10.8496,14.6484
Banza Futa Health Post,-11.2023,14.9090
Banza-Choa,-10.9520,14.6008
Belo Horizonte Health Post,-10.7440,13.7684
Benzengulo Health Post,-11.0489,13.9837
Boa Entrada Regional Hospital,-10.8680,14.3285
Boa Esperanta Centro Materno Infantil,-10.8946,16.0518
Boa Lembranta Health Post,-10.8759,14.3646
Boa Lembranta Health Post,,
Bombo Health Post,-11.4900,14.3369
Botera Health Post,-11.6125,14.3004
BTu Health Post,-10.8848,14.3671
Buli Health Post,,
Bulumbo Health Post,-10.6046,16.0060
Bungo Health Centre,-9.8167,14.6500
Cabuta Health Post,-9.8364,14.8701
Cachoeiras Health Post,-10.9900,14.1000
Cacombolo Health Post,-11.0557,14.2164
Cacota Health Post,,
Cacula Health Post,-11.1376,14.4435
Cacumba Luis,-11.6445,14.2361
Cainja Health Post,-11.4287,14.2462
Calele Health Post,-10.4140,13.6955
Calunhomo Health Centre,-10.5035,16.0115
Cambalo Health Post,-10.9431,13.9487
Cambaw,-10.0891,15.2153
Candele Health Post,-10.9121,14.4478
Candumbo Health Post,-10.7328,13.7728
Cangongolo Health Post,-11.0002,13.9583
Caninda Nova Health Post,-11.5170,15.3288
Capole Health Post,-10.5159,14.0070
Capolo 1 Health Post,-11.1945,14.2538
Cariango Health Post,-10.5797,15.3300
Carimba Health Post,-11.0807,13.8640
Casa Branca Health Post,-11.5385,13.8158
Cassequele Health Post,-11.9333,15.3000
Cassonga Health Post,-11.0497,14.0008
Cassongue Municipal Hospital,-11.8503,15.0518
CassonguT Centro Materno Infantil,-10.5834,14.3485
Cassoto Health Post,-11.3543,15.2693
Cassuada Health Centre,-10.6159,13.9652
Cassussua Health Post,-10.7419,14.3415
Catanda Health Post,-11.4086,14.2206
Catandala Centro Materno Infantil,-10.8456,14.3973
Catofe Health Post,-10.8555,15.0540
Cauaca Health Post,-11.3882,15.0670
Cawembe Health Post,-11.0170,14.1990
Cawila Health Post,-10.7379,13.7760
Cela Municipal Hospital,-11.4233,15.1268
Chieke Health Post,,
Chilumbo Health Post,,
Chimbangua Health Post,,
Chinendele Health Post,-11.4143,14.4821
Chingo Health Centre,-11.1799,13.8687
Chipaca Health Post,-11.7220,14.1534
Chipury Health Post,-11.1677,13.8444
Chol-Chol Health Post,-10.9477,14.0775
Cipres Centro Materno Infantil,,
Coma Health Post,,
Comandante Valedia Health Centre,-11.4220,15.1258
Conda Municipal Hospital,-11.1032,14.3306
CondT Health Centre,-10.8451,14.6763
Cruzamento Health Post,-11.8514,15.0457
Cuacra Health Post,-11.1840,14.0830
Cubal 6 Pontes Health Post,-11.5009,14.0802
Cumbira 1 Health Post,-11.2167,14.6000
Cunjo Health Post,-11.1553,14.5720
Dende Health Post,-10.6721,13.8232
Deolinda Rodrigues Centro Materno Infantil,-10.7618,13.7520
Dumbo 1 Health Post,-11.0933,14.3725
Ebo Municipal Hospital,-11.0426,14.6977
Estatpo Regional Health Post,-10.7249,13.7573
Fortuna Centro Materno Infantil,-10.7480,13.7683
Gango,-10.6002,15.8963
Ganja Health Post,-11.4743,13.8200
Ganja Health Post,-11.2833,14.3333
Gonga Health Post,-11.6189,14.8011
Guarna Health Post,-10.6943,14.3419
Guendela Health Post,-11.0741,14.3888
Gungo Health Post,-11.8160,14.1531
Haco Health Post,-10.1715,15.7147
Hala-Choa,-11.1005,13.9286
Hala-Choa,-11.0106,14.6115
Hanga (Cumbira 2) Health Post,-11.2082,14.3442
Hanga 1 Health Post,,
Hogiwa Health Post,,
Hospital Geral 17 de Setembro,-11.2043,13.8411
Hote Health Post,-11.1771,14.0248
Huande Health Post,-11.0333,14.3333
Huango 1 Health Post,-11.1282,14.7665
Ingongolo Health Post,-11.3576,14.2780
Itumbo Health Post,-11.6233,14.1822
Jombe Health Post,-11.1800,14.1300
Kachongono Health Post,-11.2804,15.1308
Kassapa Health Post,,
Kassumba Ex-Dala,-11.0955,14.5708
Kichocota Health Post,,
Kicombo Health Post,-11.3201,13.8196
Kienha Health Post,-10.1440,15.5958
Kilometro 11 Health Post,-10.7284,13.8381
Kilometro 28 Health Post,,
Kilometro 40 Health Post,-10.6910,14.0816
Kilometro 40 Health Post,-10.1996,16.1404
Kilunda Health Post,,
Kipungo Health Post,-11.1522,14.6956
Kissanga (Sanga) Health Post,-11.0062,14.9543
Kissanga Kungo Health Post,-11.4217,15.1281
Kissange Health Post,-11.3712,14.9001
Kissobe,-11.1480,14.8668
Kissongo Health Post,-10.0319,15.0860
Lambingo,-11.0503,15.2799
Libolo Municipal Hospital,-10.0032,14.8959
Longolo Health Post,-10.1842,14.9601
Lonhe Health Post,-10.8159,15.5530
Lowa Health Post,-10.5541,15.9514
Lussusso Health Post,-10.1987,14.8079
Mangue Health Post,-11.2711,14.7930
Maria Agusta Health Post,-10.9248,14.3489
Maria Helena Health Post,,
Maria Teresa Health Post,-11.1077,14.3355
Menga Health Centre,-11.7167,15.3500
Minga Health Post,-11.1051,14.2872
Misspo Health Post,-10.7392,14.9793
Moma da Banze Health Post,-11.3897,14.4347
Moma da Fonseca Health Post,-11.5280,14.4278
Muhiliz Health Post,-10.5712,16.1163
Munenga Health Post,-10.0319,14.6361
Mungo,-9.9939,14.8958
Muonha Health Post,-11.1135,15.1431
Muquitixe Health Post,-10.4203,14.9604
Mussende Centro Materno Infantil,-10.9420,16.1187
Mussende Health Post,-10.5055,16.0138
Mussende Municipal Hospital,-10.5175,16.0112
Ndala-Cachibo,-10.4732,14.6539
Ngangula Health Centre,-10.9904,13.9307
Ngola Lombo Health Post,-10.3002,13.6444
Ngola Mussungo Health Post,-10.7900,13.7732
Nhime Health Post,-11.2167,14.2333
Njanta Health Post,,
Pambangala Health Post,-11.7072,15.2524
Panda Health Post,-10.9076,13.8782
Pedra 1 Health Centre,-11.2167,13.8583
Pedra Escrita Health Post,-10.1623,14.7543
Pedra Preciosa Centro Materno Infantil,-11.2101,13.8603
Pinda Health Centre,-10.8209,13.8416
Pindo Health Post,-11.1982,13.8703
Pomba Nova Health Post,-11.2390,13.8823
Ponte Santo Health Post,-11.4039,14.3085
Porto Amboim Municipal Hospital,-10.7283,13.7656
Praia Health Post,-11.1831,13.8650
Quibala Municipal Hospital,-10.7366,14.9794
Quilenda Municipal Hospital,-10.6405,14.3372
Quimone,-10.6240,14.9562
Quina (Capango) Health Post,-10.8263,14.4108
Quipito Health Post,-11.2548,14.1615
Quirimbo Health Post,-10.6778,14.2620
Quitundo Tongo Health Post,-11.3343,15.2269
Sacriffcio Centro Materno Infantil,,
Salina Health Post,-10.8996,14.2560
Salinas Health Post,-11.2395,13.8795
Salvador Health Post,-10.5966,16.0491
Sanga Health Post,-11.1360,15.4169
Santa Cruz Health Centre,-11.1943,13.8528
Santo Agostinho Health Post,-10.7994,16.0971
Sede Centro Materno Infantil,-11.4224,15.1262
Sede Health Centre,-11.3932,14.3802
Sede Health Centre,-11.2049,13.8404
Sede Health Centre,-10.7328,14.9783
Sede Health Centre,-10.7318,13.7549
Sede Health Centre,-10.5040,14.0332
Sede Health Centre,-10.0016,14.8959
Seles Municipal Hospital,-11.4077,14.3047
Spo Lucas Health Post,-10.9425,16.1212
Spo Lucas Health Post,-10.4412,14.4442
St. Antenio Health Centre,-11.7461,14.8640
Sumbe Municipal Hospital,-11.1882,13.8576
Sumbe Policlfnico Health Centre,-11.2045,13.8401
Tari-Quicanzo,-10.6796,14.7631
Tchitonde Health Post,-11.7683,14.1222
Tenge Health Post,-11.2680,14.9415
Torre Quijiba Health Post,-10.6834,14.1458
Tranganda,-10.7639,14.8245
Ussuambanda Health Post,,
Valedia Health Post,-11.0579,14.3327
Vida Abundante Centro Materno Infantil,-10.6699,13.8589
Wake Health Post,-11.4086,14.3007
Xariaia Health Post,-10.7058,14.4972
Zambia Health Post,-10.9300,14.1763
Zeufor Centro Materno Infantil,-10.7318,13.7533
Caham Hospital,-16.2828,14.3053
Chiulo Hospital,-16.5324,14.8682
Cunene Provincial Hospital,-17.0684,15.7230
Curoca Hospital,-16.6567,13.4237
Cuvelai Hospital,-15.6648,15.8025
Mercado Municipal Hospital,-16.7448,14.9715
Namacunde Hospital,-17.3076,15.8442
Oncocua Hospital,-16.6559,13.4298
Alto Calai Health Post,-12.8503,15.5510
Alto Chiumbo Health Post,-12.3752,16.1547
Alto Hama Municipal Hospital,-12.2214,15.5511
Antenio Health Centre,-12.8016,15.8889
Atuco Health Post,-12.3867,15.7077
Bailundo Hospital,-12.1990,15.8701
Bata Health Centre,-11.7097,16.0689
Bave Health Centre,-12.6339,16.0462
BelTm do Huambo Health Post,-12.8038,15.6433
Benfica Alto Health Centre,-12.7422,15.7469
Benfica Baixo Health Centre,-12.7545,15.7459
Bimbe Health Centre,-11.8201,15.8307
Boas -guas Health Post,-12.7000,16.0333
Bomba Alta Centro Materno Infantil,-12.7731,15.7220
Bonga Health Post,-12.3000,15.6167
Bongo Health Post,-12.9923,15.3417
Caala Health Centre,-12.8400,15.5200
Caala Municipal Hospital,-12.8514,15.5558
Cachaca Health Post,-12.4500,15.7500
Cachilengue Health Post,-12.6329,16.2744
Cachiungo Centro Materno Infantil,-12.5620,16.2190
Cachiungo Municipal Hospital,-13.1000,16.4333
Cacilhas Health Centre,-12.7795,15.7663
Cacoma Health Centre,-12.5924,15.2101
Cacucu Health Post,-12.8591,15.0680
Cahululo Health Post,-12.8178,15.7017
Calandula Health Post,-12.8289,15.8856
Calei Cuchila Health Post,-12.6946,15.6050
Calenga Health Centre,-12.8458,15.4708
Calenga Jolo Health Post,-12.9380,15.3316
Caliamamo Health Post,-12.6670,15.4490
Calicoque Health Post,-12.7220,15.6689
Calilongue Health Post,-12.5746,15.3115
Calima Health Centre,-12.8813,15.8189
Calomanda Health Post,-12.7741,15.7235
Calombeu Health Post,-11.8167,15.6000
Calueyo Health Post,-13.3255,16.0168
Calueyo Health Post,-12.9333,15.6333
Calueyo Health Post,-12.6633,15.7816
Calulo-Hengue Health Centre,-11.6500,15.6500
Calunda Health Post,-12.5004,16.0290
Cambia Health Post,-12.4833,15.4000
Cambuengo Health Centre,-11.7077,16.0741
Cambuio Baixo Health Post,-12.7000,15.9167
Caminho de Ferro de Benguela Hospital,-12.7702,15.7372
Candandi Health Post,-12.0960,15.7651
Candingo Health Post,-12.7417,15.4721
Candumbo Health Post,-12.4360,15.8839
Cangombe Health Post,-12.8250,16.1165
Cangombe Health Post,-12.4390,15.6555
Cantpo Paula Health Post,-12.8559,15.5550
Capalacassa Health Post,-12.8386,14.8616
Capango Health Post,-12.8833,15.9333
Capigala Health Post,-12.8539,15.9180
Capunje Health Post,-12.9378,15.4703
Caputo Health Post,-12.3667,15.8833
Cassema Health Post,-12.9725,15.7715
Cassenje Health Post,-12.0833,16.4000
Casseque III Health Centre,-12.9966,15.9266
Cassoco Health Post,-12.8817,15.5213
Cassuculo Health Post,-12.7176,15.8371
Cassupi Health Post,-12.9896,15.4545
Catabola Health Centre,-13.1167,15.1667
Catanda Health Post,-12.6667,15.0333
Catata Health Centre,-13.4000,15.4170
Catete Health Post,-12.5316,15.8976
Catuta Health Post,-12.1912,15.7123
Cavili Health Post,,
Cavinda Health Post,-13.1144,15.8287
Cavongue Health Centre,-12.7079,15.6054
Cayumbuca Health Post,-11.9354,16.4167
Chaliwewa Health Post,-12.2400,15.3130
Changuir Health Post,-12.3647,15.7747
Chenga Health Post,-12.8667,15.1333
Chiaca Health Centre,-12.6325,14.9949
Chianga Health Centre,-12.5081,15.6692
Chicala Centro Materno Infantil,,
Chicala Cholohanga Municipal Hospital,-12.4333,15.9000
Chicoco Health Post,-12.9500,14.8833
Chilata Health Centre,-12.9000,15.2500
Chilembo Health Post,-13.0717,15.8010
Chilongo Health Post,-12.7888,15.7618
Chingolo Health Post,-12.0574,15.7549
Chinhala Health Post,-12.1167,15.6333
Chinhama Health Centre,-13.1014,16.4297
Chinjenje Health Centre,-12.8260,14.9313
Chinjenje Health CentreMI,,
Chipipa Health Centre,-12.5664,15.7425
Chitatamela Health Post,-12.3667,15.6333
Chiteta Health Post,-12.0167,15.8000
Chitue Health Post,-12.6912,15.5692
